player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Oshae Brissett,brissos01,2021,358,160,.8355662138862783,-.309239003332805,.5263272105534732,5.48157550403797,-.765317560214311,4.716257943823659,1.855472575056155,-.4349540551818573,1.420518519874298,.3423172313389633,.3423172313389633,0,1.111047690686966,-.5198429946319486,.5912046960550178,.5540622145410269
Malcolm Brogdon,brogdma01,2021,3975,1890,2.362711212280614,-2.169637365308113,.1930738469725011,.8537132476394754,2.388751222529665,3.242464470169141,2.181671278151599,-1.346105506571374,.8355657715802249,3.416038592117524,3.416038592117524,0,2.316446011958909,-.6899339619294529,1.626512050029456,-1.20945451286993
Armoni Brooks,brookar01,2021,449,212,-2.765207547503642,-1.755858045733374,-4.521065593237017,-8.674251609693842,-2.830537157107847,-11.50478876680169,-4.0938614707778,-2.043059589899197,-6.136921060676997,-.3672314320630591,-.3672314320630591,0,-2.948857331537479,-2.852727280778725,-5.801584612316203,.2462124648613304
Dillon Brooks,brookdi01,2021,3520,1646,-1.646018622479751,.7305059618815318,-.9155126605982195,3.527130637026437,.6294048656394751,4.156535502665912,-.6797981329843663,.7331139938681513,.053315860883785,2.38566994866296,2.38566994866296,0,.2693245117457651,1.408741962976538,1.678066474722304,1.349035060929527
Bruce Brown,brownbr01,2021,2672,1274,.5275875855328112,.4965123461001318,1.024099931632943,-.1390913432277481,-.4634306306265424,-.6025219738542905,.3560488539511193,.3475620694695372,.7036109234206565,2.233212380509615,2.233212380509615,0,.7279059498179979,.4764347046463618,1.20434065446436,-.5221482046356342
Charlie Brown Jr.,brownch02,2021,29,12,4.478013537364899,7.273726067325022,11.75173960468992,-3.12123211828829,16.34967267987696,13.22844056158867,3.328773451771021,9.730880640090485,13.05965409186151,.0989174084266123,.0989174084266123,0,6.156668580897466,7.161904328809118,13.31857290970659,2.214525151799754
Jaylen Brown,brownja02,2021,3836,1846,2.463178346487773,.2189695035893335,2.682147850077107,.3198123113864172,-1.283491348244236,-.9636790368578184,2.154623372097118,-.092876034518812,2.061747337578306,4.583906204720737,4.583906204720737,0,2.649427201273346,.4645254191404904,3.113952620413837,1.159146703130035
Moses Brown,brownmo01,2021,1436,656,-1.783463114590441,.3570469449994207,-1.42641616959102,-4.136620341608217,-5.160004055014169,-9.296624396622386,-2.283656949328574,-.7266501413430876,-3.010307090671661,-.087393550348578,-.087393550348578,0,-2.886317360898779,-1.121162272198764,-4.007479633097543,.3139233720971998
Sterling Brown,brownst02,2021,2615,1229,-.9994087792429546,-1.193941114940062,-2.193349894183017,-2.032553990688064,.225409180247389,-1.807144810440675,-1.243132674126021,-.9317839856332888,-2.17491665975931,.3600286898036451,.3600286898036451,0,-2.115764623215803,-.6800035514938727,-2.795768174709676,-.1592566444758153
Troy Brown Jr.,browntr01,2021,1095,524,-1.80755832939407,-3.15793871556793,-4.965497044962001,.7846845267926816,-.0564188956184996,.7282656311741822,-1.34696795759157,-2.677990150013926,-4.024958107605497,-.2911746038257613,-.2911746038257613,0,-1.493466154343122,-2.751285371073333,-4.244751525416454,-.4815707623457138
Jalen Brunson,brunsja01,2021,2922,1421,2.04438293993558,-.63767137152909,1.40671156840649,-.0524931926772535,2.498463384146846,2.445970191469593,1.704170704464272,-.0220255238065695,1.682145180657703,3.189323038016513,3.189323038016513,0,1.811269389522396,-.0283662458255263,1.78290314369687,-.7522584868607541
Thomas Bryant,bryanth01,2021,606,271,-.8301192976460114,-.0816613596870421,-.9117806573330537,2.03963957352542,-2.099128142698614,-.0594885691731939,-.2624041366167571,-.4775409886063849,-.739945125223142,.2788249953199181,.2788249953199181,0,-1.454305865037258,.6222367538353578,-.8320691112019006,.3290622208984066
Reggie Bullock,bullore01,2021,3229,1587,-.5830316160770883,-.5859186136902753,-1.168950229767364,-.9186226741776875,-.3274287620726106,-1.246051436250298,-.6713141404155254,-.5989146941644993,-1.270228834580025,1.195963900566277,1.195963900566277,0,-1.093322907137853,.0530757064584573,-1.040247200679396,-.1842725063010172
Trey Burke,burketr01,2021,1521,728,.7541322077990632,-1.331135628545554,-.5770034207464907,-.8769755539286288,.4473171687267951,-.4296583852018337,.4369623965007708,-1.039469035700634,-.6025066391998627,.7938668287618514,.7938668287618514,0,.6828204957090146,-1.560357271636595,-.8775367759275807,-.4765460600209179
Alec Burks,burksal01,2021,2306,1134,1.967136697372968,-.4728468892778993,1.494289808095069,-.3402780653608832,3.708988295099811,3.368710229738928,1.620198941023436,.341865765464619,1.962064706488055,2.712330397570495,2.712330397570495,0,1.171278960222855,.1500125774233838,1.321291537646239,-.5149594870336974
Jimmy Butler,butleji01,2021,3102,1525,4.937678602050329,2.855131161117546,7.792809763167875,-.488398065759292,3.390779264725009,2.902381198965718,4.167699484999698,3.118302117910983,7.286001602910681,7.794086482287653,7.794086482287653,0,3.830592102916613,3.19314833979704,7.023740442713653,-.1870388941516989
Bruno Caboclo,cabocbr01,2021,81,36,-9.578951085024467,5.654161999967061,-3.924789085057406,-7.047978204299806,13.50743376500223,6.459455560702429,-9.514229639412381,7.706428652520858,-1.807800986891523,.0177419413637155,.0177419413637155,0,-6.441654557049969,3.624607583428717,-2.817046973621252,2.544338556245265
Devontae Cacok,cacokde01,2021,194,88,-.0494399674015335,1.842663060698934,1.7932230932974,5.190769456618836,6.513766990131941,11.70453644675078,1.059628916513579,2.852309271153243,3.911938187666823,.301276691972976,.301276691972976,0,.682332623199829,1.058396687566832,1.740729310766661,.7325872150782963
Kentavious Caldwell-Pope,caldwke01,2021,3193,1541,-1.247768336922624,-.4195729718237491,-1.667341308746373,2.324015619467927,-.4956792457258532,1.828336373742074,-.5568528951877582,-.5018678045843765,-1.058720699772135,1.329078408604711,1.329078408604711,0,-.9452244146280089,.1270962248783616,-.8181281897496473,-.0482724063308046
Facundo Campazzo,campafa01,2021,2274,1107,-.020971803307726,1.857795595763022,1.836823792455296,-3.173236905405052,2.978333707585882,-.1949031978191709,-.7143155245192618,2.19529616115235,1.480980636633089,2.388372120758851,2.388372120758851,0,-.1685937785689533,2.621946523289483,2.45335274472053,-.0527532540423578
