Rank,Player,18/19,18/19*
407,Jordan Bell,1378242.00,1410008.00
407,Maxi Kleber,1378242.00,1410008.00
407,Dwayne Bacon,1378242.00,1410008.00
407,Daniel Theis,1378242.00,1410008.00
407,Semi Ojeleye,1378242.00,1410008.00
428,Tyrone Wallace,1349383.00,1380484.00
428,Ike Anigbogu,1349383.00,1380484.00
428,Alfonzo McKinnie,1349383.00,1380484.00
428,Monte Morris,1349383.00,1380484.00
428,Ryan Arcidiacono,1349383.00,1380484.00
428,Antonio Blakeney,1349383.00,1380484.00
428,Jabari Bird,1349383.00,1380484.00
428,Daniel Hamilton,1349383.00,1380484.00
436,Shaquille Harrison,1325531.00,1356082.00
437,Elie Okobo,1238464.00,1267008.00
438,Jalen Brunson,1230000.00,1258349.00
439,Melvin Frazier,1050000.00,1074201.00
440,Raymond Spalding,1023210.00,1046793.00
441,Justin Hamilton,1000000.00,1023048.00
441,Isaac Bonga,1000000.00,1023048.00
443,Devonte Graham,988464.00,1011246.00
444,Chasson Randle,975824.00,998315.00
445,Patrick McCaw,964104.00,986325.00
446,De'Anthony Melton,949000.00,970873.00
447,Jason Thompson,893333.00,913923.00
448,Chimezie Metu,838464.00,857789.00
448,Gary Trent Jr,838464.00,857789.00
448,Isaiah Briscoe,838464.00,857789.00
448,Hamidou Diallo,838464.00,857789.00
448,Kenrich Williams,838464.00,857789.00
448,Keita Bates-Diop,838464.00,857789.00
448,Jevon Carter,838464.00,857789.00
448,Alize Johnson,838464.00,857789.00
448,Isaiah Hartenstein,838464.00,857789.00
448,Khyri Thomas,838464.00,857789.00
448,Bruce Brown,838464.00,857789.00
448,Jarred Vanderbilt,838464.00,857789.00
448,Ryan Broekhoff,838464.00,857789.00
448,Brad Wanamaker,838464.00,857789.00
462,Lorenzo Brown,800000.00,818438.00
463,Davon Reed,752250.00,769587.00
464,Isaiah Canaan,744671.00,761833.00
465,Isaiah Whitehead,726390.00,743132.00
466,Bruno Caboclo,705361.00,721618.00
467,Gary Clark,674122.00,689659.00
468,James Nunnally,663255.00,678541.00
469,Kalin Lucas,648008.00,662943.00
470,John Jenkins,585809.00,599310.00
471,Deonte Burton,500000.00,511524.00
472,Andrew Bogut,486892.00,498114.00
473,Malcolm Miller,457418.00,467960.00
473,Chris Boucher,457418.00,467960.00
475,Edmond Sumner,449794.00,460161.00
476,Yante Maten,385000.00,393873.00
477,Andrew Harrison,354500.00,362669.00
478,Eric Moreland,309859.00,317000.00
479,Nick Young,284020.00,290566.00
480,Okaro White,247827.00,253539.00
480,Danuel House,247827.00,253539.00
482,Jaylen Adams,236854.00,242313.00
483,Ben Moore,222099.00,227217.00
484,Quincy Acy,213948.00,218879.00
484,Tyler Zeller,213948.00,218878.00
486,Jimmer Fredette,198579.00,203155.00
486,Terrence Jones,198579.00,203155.00
488,Dairis Bertans,194220.00,198696.00
489,Walter Lemon Jr,176250.00,180311.00
490,Demetrius Jackson,170107.00,174027.00
491,BJ Johnson,142111.00,145385.00
492,Chris Chiozza,137374.00,140540.00
493,Johnathan Williams,127250.00,130182.00
494,Cam Reynolds,108953.00,111464.00
495,Donatas Motiejunas,99289.00,101577.00
496,Emanuel Terry,94740.00,96922.00
497,Justin Bibbs,92159.00,94283.00
498,Gary Payton II,85457.00,87426.00
498,JaKarr Sampson,85457.00,87426.00
500,Jordan McRae,77250.00,79030.00
500,Devin Robinson,77250.00,79030.00
500,Tyler Cavanaugh,77250.00,79030.00
500,Naz Long,77250.00,79030.00
500,Jordan Loyd,77250.00,79030.00
500,Drew Eubanks,77250.00,79030.00
